Code,Abbreviation,Subject Area
102,A F AERO,Air Force Aerospace Studies
104,AFRICAN,African Cultural Studies
106,AFROAMER,Afro-American Studies
108,A A E,Agricultural and Applied Economics
112,BSE,Biological Systems Engineering
120,LSC,Life Sciences Communication
130,AGROECOL,Agroecology
132,AGRONOMY,Agronomy
140,AMER IND,American Indian Studies
144,ANATOMY,Anatomy
146,ANAT&PHY,Anatomy & Physiology
148,ANESTHES,Anesthesiology
156,ANTHRO,Anthropology
160,ABT,Applied Biotechnology
168,ART,Art Department
176,ART ED,Art Education (Department of Art)
180,ART HIST,Art History
184,ASIAN AM,Asian American Studies
185,ASIAN,Asian Languages and Cultures
186,ASIALANG,Asian Languages and Cultures: Languages
188,ASTRON,Astronomy
192,MICROBIO,Microbiology
194,RP & SE,Rehabilitation Psychology and Special Education
200,BIOCHEM,Biochemistry
205,BIOLOGY,Biology
206,BIOCORE,Biology Core Curriculum
207,B M E,Biomedical Engineering
208,BOTANY,Botany
210,B M I,Biostatistics and Medical Informatics
217,CRB,Cell and Regenerative Biology
220,CBE,Chemical and Biological Engineering
224,CHEM,Chemistry
228,CHICLA,Chicana/o and Latina/o Studies
229,DERM,Dermatology
230,HDFS,Human Development and Family Studies
231,GEN BUS,General Business
232,ACCT I S,Accounting and Information Systems
233,FINANCE,"Finance, Investment and Banking"
234,INFO SYS,Information Systems
235,INTL BUS,International Business
236,M H R,Management and Human Resources
237,MARKETNG,Marketing
238,OTM,Operations and Technology Management
239,REAL EST,Real Estate and Urban Land Economics
240,CIV ENGR,Civil and Environmental Engineering
241,R M I,Risk Management and Insurance
242,ACT SCI,Actuarial Science
244,CLASSICS,Classics
247,CSCS,Civil Society and Community Studies
250,COM ARTS,Communication Arts
252,CS&D,Communication Sciences and Disorders
260,COMP LIT,Comparative Literature
266,COMP SCI,Computer Sciences
270,COUN PSY,Counseling Psychology
271,CNSR SCI,Consumer Science
272,CURRIC,Curriculum and Instruction
292,DY SCI,Dairy Science
296,ECON,Economics
305,ELPA,Educational Leadership and Policy Analysis
310,ED POL,Educational Policy Studies
315,ED PSYCH,Educational Psychology
320,E C E,Electrical and Computer Engineering
330,EMER MED,Emergency Medicine
346,E M A,Engineering Mechanics and Aerospace Engineering
347,E P,Engineering Physics
348,E P D,Engineering Professional Development
351,ESL,English as a Second Language
352,ENGL,English
355,ENTOM,Entomology
359,DS,Design Studies
360,ENVIR ST,Environmental Studies - Gaylord Nelson Institute
362,M&ENVTOX,Molecular and Environmental Toxicology
370,FAM MED,Family Medicine
375,FISC,Farm & Industry Short Course
380,FOLKLORE,Folklore Program
390,FOOD SCI,Food Science
396,F&W ECOL,Forest and Wildlife Ecology
400,FRENCH,French (French and Italian)
412,GENETICS,Genetics
416,GEOG,Geography
418,G L E,Geological Engineering
420,GEOSCI,Geoscience
424,GERMAN,German
